Date,High,Low,Open,Close,Volume,Adj Close
2015-10-19,200715,199773,200220,200695,200,200695
2015-10-20,201491,199700,200392,201480,100,201480
2015-10-21,203000,199725,202120,199900,200,199900
2015-10-22,206500,200720,200960,206020,600,206020
2015-10-23,207002,205241,207002,206584,300,206584
2015-10-26,206950,205080,206740,205380,200,205380
2015-10-27,205075,202700,205075,203280,200,203280
2015-10-28,207442,203280,203380,206940,300,206940
2015-10-29,207776,205960,206700,206817,200,206817
2015-10-30,206825,204195,206500,204596,200,204596
2015-11-02,207780,204620,205200,207745,200,207745
2015-11-03,207760,206655,207340,206704,200,206704
2015-11-04,206965,205769,206704,206120,200,206120
2015-11-05,207000,204550,206050,204694,300,204694
2015-11-06,205540,202767,205340,203100,500,203100
2015-11-09,203435,200120,203240,201000,400,201000
2015-11-10,201815,200500,201450,201754,100,201754
2015-11-11,202829,201375,202000,202355,100,202355
2015-11-12,201989,199240,201989,199371,200,199371
2015-11-13,200260,197760,199500,197825,100,197825
2015-11-16,199860,197280,197899,199800,400,199800
2015-11-17,200805,199120,200400,200045,400,200045
2015-11-18,204415,200100,200100,204280,300,204280
2015-11-19,205298,203530,204130,204901,300,204901
2015-11-20,206069,203989,205500,204600,200,204600
2015-11-23,205130,203779,204800,203779,100,203779
2015-11-24,203755,201253,203320,203360,200,203360
2015-11-25,203805,202285,203470,202285,200,202285
2015-11-27,203080,201624,203045,201624,100,201624
2015-11-30,202567,200794,202051,201360,200,201360
2015-12-01,204945,201850,201850,204945,300,204945
2015-12-02,205015,202683,204740,202930,200,202930
2015-12-03,202910,198540,202800,198801,300,198801
2015-12-04,204705,199800,199800,204500,500,204500
2015-12-07,204473,202060,204473,203500,200,203500
2015-12-08,202200,199900,202005,200105,300,200105
2015-12-09,201140,196850,199760,197660,400,197660
2015-12-10,198826,197000,197940,197505,400,197505
2015-12-11,196357,194500,195750,195757,300,195757
2015-12-14,198212,195270,195620,198040,400,198040
2015-12-15,203320,199400,199600,202440,500,202440
2015-12-16,204100,199939,203460,203800,600,203800
2015-12-17,204000,200920,203600,201000,200,201000
2015-12-18,199400,194720,199161,194720,600,194720
2015-12-21,197500,194500,196398,196801,400,196801
2015-12-22,199920,196680,197798,199680,500,199680
2015-12-23,203600,199860,200000,200000,500,200000
2015-12-24,201624,200225,201035,201137,100,201137
2015-12-28,200200,198800,200200,199876,300,199876
2015-12-29,201800,199480,200500,200050,400,200050
2015-12-30,201150,199740,200520,200081,300,200081
2015-12-31,200000,197800,199220,197800,300,197800
2016-01-04,196760,193300,195000,196295,800,196295
2016-01-05,197314,195000,196300,197000,500,197000
2016-01-06,197880,194701,195041,197415,600,197415
2016-01-07,196200,194000,194299,195580,1100,195580
2016-01-08,196000,193275,195650,193900,400,193900
2016-01-11,194810,191461,194140,193060,300,193060
2016-01-12,194740,191700,193900,194000,300,194000
2016-01-13,194339,189540,194100,190500,500,190500
2016-01-14,194000,189661,190150,192250,300,192250
2016-01-15,191200,187655,188520,190000,600,190000
2016-01-19,192938,191000,191005,191700,300,191700
2016-01-20,189959,187100,188620,188470,500,188470
2016-01-21,190750,187500,188501,189455,200,189455
2016-01-22,192260,189990,191901,191396,200,191396
2016-01-25,190000,186900,190000,187001,200,187001
2016-01-26,190500,187510,187510,189640,400,189640
2016-01-27,191580,187996,189395,189091,200,189091
2016-01-28,190900,187500,189840,188300,200,188300
2016-01-29,194650,190020,190020,194360,500,194360
2016-02-01,195190,191900,194000,194759,500,194759
2016-02-02,194000,189800,193100,189902,400,189902
2016-02-03,190620,186921,190501,189861,400,189861
2016-02-04,192200,189502,189502,192200,200,192200
2016-02-05,191880,189520,191385,190820,300,190820
2016-02-08,192440,188500,189120,191255,400,191255
2016-02-09,193000,189365,189725,192635,600,192635
2016-02-10,194700,190471,192861,190520,300,190520
2016-02-11,190200,187405,187865,190000,600,190000
2016-02-12,193999,190300,190300,193999,600,193999
2016-02-16,195540,193106,195540,193465,300,193465
2016-02-17,196070,194063,194741,195903,400,195903
2016-02-18,199001,196025,196450,196025,400,196025
2016-02-19,197660,195726,196075,197310,100,197310
2016-02-22,199800,197631,199000,198650,200,198650
2016-02-23,198300,196502,197880,196502,100,196502
2016-02-24,197400,194201,195755,196511,300,196511
2016-02-25,198899,196100,197690,198899,400,198899
2016-02-26,200000,198000,199000,198191,400,198191
2016-02-29,203192,200000,200100,202555,900,202555
2016-03-01,205606,202600,203899,205500,700,205500
2016-03-02,206009,204580,206000,205500,400,205500
2016-03-03,206395,204999,205750,206000,400,206000
2016-03-04,207945,205700,206200,207945,1100,207945
2016-03-07,208750,206621,207500,208500,700,208500
2016-03-08,208700,207280,208150,207989,600,207989
2016-03-09,209425,208250,208336,209250,500,209250
2016-03-10,210001,207930,209865,209120,700,209120
2016-03-11,211600,209490,209990,211600,600,211600
2016-03-14,212250,209850,212000,210300,200,210300
2016-03-15,211200,209173,209720,211070,200,211070
2016-03-16,211000,210140,210200,210200,400,210200
2016-03-17,214000,209925,210240,213600,400,213600
2016-03-18,214560,212481,214250,213330,300,213330
2016-03-21,214000,212860,213330,213300,200,213300
2016-03-22,214538,212790,213200,213400,200,213400
2016-03-23,213340,211370,212900,211370,300,211370
2016-03-24,210980,209525,210200,210530,200,210530
2016-03-28,212619,210790,211120,212125,200,212125
2016-03-29,213000,211000,212435,212800,100,212800
2016-03-30,215130,213588,214345,214035,300,214035
2016-03-31,214623,212400,214125,213450,200,213450
2016-04-01,215950,209641,211850,215740,300,215740
2016-04-04,215600,214360,215560,215060,200,215060
2016-04-05,213884,211900,213501,212340,200,212340
2016-04-06,212990,211000,212299,212990,200,212990
2016-04-07,211911,210670,211302,211401,200,211401
2016-04-08,213144,211250,212300,211705,100,211705
2016-04-11,213180,211660,212340,211660,100,211660
2016-04-12,213720,211652,212250,213700,200,213700
2016-04-13,216178,214294,214480,216130,300,216130
2016-04-14,216250,215310,216250,215600,200,215600
2016-04-15,216080,214470,216080,215110,200,215110
2016-04-18,216650,214350,214350,216650,200,216650
2016-04-19,219499,216840,216945,219000,300,219000
2016-04-20,219600,218060,218400,218928,200,218928
2016-04-21,219495,217045,219120,217460,300,217460
2016-04-22,219500,217400,217400,219038,200,219038
